fltno,dest,source,freq,route
AI 0453,DEL,ATQ,4,DEL-ATQ
AI 0803,DEL,BLR,7,DEL-BLR
AI 0893,DEL,DIB,1,DEL-DIB
AI 0485,DEL,IXZ,1,DEL-IXZ
AI 0659,BOM,TIR,2,BOM-TIR
AI 0787,CCU,IXZ,1,CCU-IXZ
AI 0895,DEL,IXA,1,DEL-IXA
AI 0753,CCU,IXS,2,CCU-IXS
AI 0459,DEL,VGA,2,DEL-VGA
AI 0705,CCU,DIB,4,CCU-DIB
AI 0423,DEL,STV,1,DEL-STV
AI 0525,HYD,CCU,7,HYD-CCU
AI 0440,MAA,DEL,7,MAA-DEL
AI 0675,BOM,CCU,3,BOM-CCU
AI 0627,BOM,NAG,4,BOM-NAG
AI 0469,DEL,NAG,1,DEL-NAG
AI 0804,BLR,DEL,6,BLR-DEL
AI 0851,DEL,PNQ,7,DEL-PNQ
AI 0559,HYD,DEL,7,HYD-DEL
AI 0640,BLR,BOM,5,BLR-BOM
AI 0887,DEL,BOM,7,DEL-BOM
AI 0523,BLR,JAI,4,BLR-JAI
AI 0688,BOM,DED,2,BOM-DED
AI 0707,BOM,IDR,2,BOM-IDR
AI 0866,BOM,DEL,4,BOM-DEL
AI 3425,DEL,SXR,1,DEL-SXR
AI 0411,DEL,LKO,7,DEL-LKO
AI 0563,MAA,BLR,3,MAA-BLR
AI 0401,DEL,CCU,3,DEL-CCU
AI 0560,DEL,HYD,2,DEL-HYD
AI 0679,BOM,IXE,4,BOM-IXE
AI 0715,CCU,PNQ,4,CCU-PNQ
AI 3449,DEL,IXL,3,DEL-IXL
AI 0454,ATQ,DEL,4,ATQ-DEL
AI 0445,DEL,IXL,4,DEL-IXL
AI 0516,BLR,HYD,3,BLR-HYD
AI 0754,IXS,CCU,2,IXS-CCU
AI 0821,DEL,IXJ,7,DEL-IXJ
AI 0776,BLR,CCU,7,BLR-CCU
AI 0660,TIR,BOM,2,TIR-BOM
AI 0706,DIB,CCU,4,DIB-CCU
AI 0879,DEL,IXB,1,DEL-IXB
AI 0412,LKO,DEL,4,LKO-DEL
AI 0423,STV,CCU,1,STV-CCU
AI 0564,BLR,MAA,3,BLR-MAA
AI 0708,IDR,BOM,2,IDR-BOM
AI 0896,IXA,DEL,1,IXA-DEL
AI 0481,DEL,BHO,3,DEL-BHO
AI 0628,NAG,BOM,4,NAG-BOM
AI 0460,VGA,DEL,2,VGA-DEL
AI 0505,BLR,DEL,7,BLR-DEL
AI 0788,IXZ,CCU,1,IXZ-CCU
AI 0671,BOM,MAA,7,BOM-MAA
AI 3426,SXR,DEL,1,SXR-DEL
AI 0549,MAA,IXZ,1,MAA-IXZ
AI 0651,BOM,RPR,3,BOM-RPR
AI 3415,IXL,IXC,3,IXL-IXC
AI 0407,DEL,PAT,6,DEL-PAT
AI 0639,BOM,BLR,5,BOM-BLR
AI 0894,DIB,DEL,1,DIB-DEL
AI 0676,CCU,BOM,3,CCU-BOM
AI 0851,PNQ,AMD,6,PNQ-AMD
AI 0470,NAG,DEL,1,NAG-DEL
AI 0679,IXE,BLR,4,IXE-BLR
AI 0429,DEL,MAA,7,DEL-MAA
AI 0558,DEL,HYD,7,DEL-HYD
AI 0809,BOM,DEL,7,BOM-DEL
AI 0526,CCU,HYD,7,CCU-HYD
AI 0486,IXZ,DEL,1,IXZ-DEL
