fltno,dest,source,freq,route
6E  101,MAA,CJB,7,MAA-CJB
6E  102,CCU,IXA,7,CCU-IXA
6E  103,PNQ,BLR,7,PNQ-BLR
6E  104,BOM,DEL,7,BOM-DEL
6E  105,BLR,MAA,6,BLR-MAA
6E  106,DEL,SAG,3,DEL-SAG
6E  107,DEL,PAT,7,DEL-PAT
6E  108,SAG,DEL,3,SAG-DEL
6E  109,BHO,BOM,4,BHO-BOM
6E  112,MAA,GAU,7,MAA-GAU
6E  113,BLR,COK,7,BLR-COK
6E  114,DED,DEL,7,DED-DEL
6E  115,MAA,CCU,3,MAA-CCU
6E  116,MAA,CCU,3,MAA-CCU
6E  117,BBI,HYD,3,BBI-HYD
6E  118,MAA,CJB,7,MAA-CJB
6E  119,IXA,GAU,2,IXA-GAU
6E  121,HYD,MAA,7,HYD-MAA
6E  1214,DEL,SIN,7,DEL-SIN
6E  122,AMD,LKO,7,AMD-LKO
6E  123,CCU,PNQ,3,CCU-PNQ
6E  124,PNQ,CCU,3,PNQ-CCU
6E  125,AMD,CCU,7,AMD-CCU
6E  126,BLR,BOM,6,BLR-BOM
6E  127,BLR,BOM,7,BLR-BOM
6E  128,MAA,GOI,7,MAA-GOI
6E  129,DEL,DED,7,DEL-DED
6E  131,BLR,IXE,7,BLR-IXE
6E  132,HYD,CCU,7,HYD-CCU
6E  133,CCU,BLR,7,CCU-BLR
6E  134,HYD,IXR,7,HYD-IXR
6E  135,AMD,CCU,6,AMD-CCU
6E  136,BOM,GOP,3,BOM-GOP
6E  137,GOI,MAA,7,GOI-MAA
6E  138,GOP,DEL,7,GOP-DEL
6E  139,BLR,CCU,1,BLR-CCU
6E  141,MAA,BBI,7,MAA-BBI
6E  142,LKO,AMD,7,LKO-AMD
6E  143,MAA,BBI,7,MAA-BBI
6E  144,VNS,BLR,6,VNS-BLR
6E  146,HYD,BLR,7,HYD-BLR
6E  147,BLR,HYD,7,BLR-HYD
6E  148,DEL,BOM,6,DEL-BOM
6E  149,BLR,HYD,7,BLR-HYD
6E  151,DEL,ATQ,7,DEL-ATQ
6E  152,ATQ,DEL,7,ATQ-DEL
6E  153,AMD,BLR,7,AMD-BLR
6E  154,HYD,PAT,1,HYD-PAT
6E  155,DEL,BOM,7,DEL-BOM
6E  156,BLR,AMD,7,BLR-AMD
6E  157,AMD,BLR,7,AMD-BLR
