id,origin,destination,departure,arrival,AircraftCode,Aircraft
AI 803,DEL,BLR,06:10 IST,08:55 IST,32N,Airbus A320neo
AI 659,BOM,HSR,06:35 IST,07:55 IST,32N,Airbus A320neo
AI 440,MAA,DEL,06:00 IST,08:55 IST,32N,Airbus A320neo
AI 675,BOM,CCU,05:55 IST,08:50 IST,321,Airbus A321
AI 559,HYD,DEL,06:20 IST,08:40 IST,32N,Airbus A320neo
AI 640,BLR,BOM,06:40 IST,08:35 IST,32N,Airbus A320neo
AI 523,HYD,DEL,14:10 IST,16:25 IST,32N,Airbus A320neo
AI 563,MAA,BLR,11:10 IST,12:10 IST,32N,Airbus A320neo
AI 516,BLR,HYD,07:25 IST,08:40 IST,319,Airbus A319
AI 776,BOM,CCU,20:00 IST,22:45 IST,32N,Airbus A320neo
AI 660,BOM,DEL,18:00 IST,20:20 IST,321,Airbus A321
AI 412,LKO,DEL,08:55 IST,10:15 IST,321,Airbus A321
AI 564,BLR,MAA,13:10 IST,14:20 IST,32N,Airbus A320neo
AI 505,BLR,DEL,09:50 IST,12:40 IST,32N,Airbus A320neo
AI 639,BOM,BLR,09:25 IST,11:15 IST,32N,Airbus A320neo
AI 676,CCU,BOM,09:45 IST,12:30 IST,321,Airbus A321
AI 809,BOM,DEL,10:00 IST,12:15 IST,32N,Airbus A320neo
AI 515,HYD,BLR,09:55 IST,11:20 IST,319,Airbus A319
AI 647,BOM,JGA,10:45 IST,12:15 IST,321,Airbus A321
AI 657,BOM,TRV,05:45 IST,08:10 IST,32N,Airbus A320neo
AI 648,JGA,BOM,13:05 IST,14:35 IST,321,Airbus A321
AI 775,CCU,BOM,16:20 IST,19:15 IST,32N,Airbus A320neo
AI 677,BOM,DEL,13:00 IST,15:15 IST,32N,Airbus A320neo
AI 678,DEL,BOM,09:00 IST,11:20 IST,32N,Airbus A320neo
AI 727,CCU,GAU,05:45 IST,07:00 IST,32N,Airbus A320neo
AI 658,TRV,BOM,08:45 IST,10:55 IST,32N,Airbus A320neo
AI 681,BOM,COK,17:15 IST,19:15 IST,321,Airbus A321
AI 849,DEL,PNQ,15:55 IST,18:05 IST,32N,Airbus A320neo
AI 773,CCU,BOM,17:55 IST,20:50 IST,32N,Airbus A320neo
AI 631,BOM,AMD,15:30 IST,16:50 IST,321,Airbus A321
AI 503,BLR,DEL,17:15 IST,20:05 IST,32N,Airbus A320neo
AI 537,DEL,MAA,16:15 IST,19:10 IST,77W,Boeing 777-300ER
AI 501,BLR,DEL,13:20 IST,16:10 IST,32N,Airbus A320neo
AI 608,CJB,BOM,09:00 IST,10:50 IST,32N,Airbus A320neo
AI 682,COK,BOM,07:50 IST,09:55 IST,32N,Airbus A320neo
AI 811,DEL,LKO,18:50 IST,20:05 IST,32N,Airbus A320neo
AI 685,BOM,GOI,05:10 IST,06:20 IST,321,Airbus A321
AI 850,PNQ,DEL,18:40 IST,21:10 IST,32N,Airbus A320neo
AI 545,MAA,HYD,16:10 IST,17:25 IST,32N,Airbus A320neo
AI 774,BOM,CCU,21:35 IST,00:20 IST,32N,Airbus A320neo
AI 632,AMD,BOM,17:35 IST,19:05 IST,321,Airbus A321
AI 812,LKO,DEL,20:45 IST,21:55 IST,32N,Airbus A320neo
AI 479,DEL,ATQ,21:15 IST,22:30 IST,32N,Airbus A320neo
