id,AircraftCode,Aircraft,airline,economy,business
6E 102,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 106,32N,Airbus A320neo,Indigo Airlines,150,12
6E 107,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 115,32N,Airbus A320neo,Indigo Airlines,150,12
6E 117,320,Airbus A320,Indigo Airlines,150,12
6E 125,320,Airbus A320,Indigo Airlines,150,12
6E 127,32N,Airbus A320neo,Indigo Airlines,150,12
6E 133,320,Airbus A320,Indigo Airlines,150,12
6E 142,32N,Airbus A320neo,Indigo Airlines,150,12
6E 143,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 146,32N,Airbus A320neo,Indigo Airlines,150,12
6E 152,32N,Airbus A320neo,Indigo Airlines,150,12
6E 169,32N,Airbus A320neo,Indigo Airlines,150,12
6E 193,32N,Airbus A320neo,Indigo Airlines,150,12
6E 2015,32N,Airbus A320neo,Indigo Airlines,150,12
6E 2016,321,Airbus A321,Indigo Airlines,185,16
6E 2018,32N,Airbus A320neo,Indigo Airlines,150,12
6E 2026,32N,Airbus A320neo,Indigo Airlines,150,12
6E 2027,320,Airbus A320,Indigo Airlines,150,12
6E 2042,32N,Airbus A320neo,Indigo Airlines,150,12
6E 2045,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 2047,320,Airbus A320,Indigo Airlines,150,12
6E 2057,320,Airbus A320,Indigo Airlines,150,12
6E 2058,32N,Airbus A320neo,Indigo Airlines,150,12
6E 2062,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 2072,32N,Airbus A320neo,Indigo Airlines,150,12
6E 2073,320,Airbus A320,Indigo Airlines,150,12
6E 2074,32N,Airbus A320neo,Indigo Airlines,150,12
6E 209,32N,Airbus A320neo,Indigo Airlines,150,12
6E 2137,32A,Airbus A320 (sharklets),Indigo Airlines,150,12
6E 215,321,Airbus A321,Indigo Airlines,185,16
6E 2164,320,Airbus A320,Indigo Airlines,150,12
6E 2165,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 2166,320,Airbus A320,Indigo Airlines,150,12
6E 2167,320,Airbus A320,Indigo Airlines,150,12
6E 2168,32N,Airbus A320neo,Indigo Airlines,150,12
6E 2169,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 2171,32N,Airbus A320neo,Indigo Airlines,150,12
6E 2172,320,Airbus A320,Indigo Airlines,150,12
6E 2174,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 2192,32N,Airbus A320neo,Indigo Airlines,150,12
6E 2198,320,Airbus A320,Indigo Airlines,150,12
6E 2201,32N,Airbus A320neo,Indigo Airlines,150,12
6E 2204,321,Airbus A321,Indigo Airlines,185,16
6E 2214,320,Airbus A320,Indigo Airlines,150,12
6E 225,32N,Airbus A320neo,Indigo Airlines,150,12
6E 2258,320,Airbus A320,Indigo Airlines,150,12
6E 2273,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 2305,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 2306,32N,Airbus A320neo,Indigo Airlines,150,12
6E 235,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 2376,321,Airbus A321,Indigo Airlines,185,16
6E 2393,320,Airbus A320,Indigo Airlines,150,12
6E 2394,32N,Airbus A320neo,Indigo Airlines,150,12
6E 2403,32N,Airbus A320neo,Indigo Airlines,150,12
6E 2409,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 2425,32N,Airbus A320neo,Indigo Airlines,150,12
6E 243,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 249,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 2587,320,Airbus A320,Indigo Airlines,150,12
6E 2625,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 2698,32A,Airbus A320 (sharklets),Indigo Airlines,150,12
6E 2716,32A,Airbus A320 (sharklets),Indigo Airlines,150,12
6E 289,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 297,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 308,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 321,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 322,32N,Airbus A320neo,Indigo Airlines,150,12
6E 326,32N,Airbus A320neo,Indigo Airlines,150,12
6E 336,32N,Airbus A320neo,Indigo Airlines,150,12
6E 343,32N,Airbus A320neo,Indigo Airlines,150,12
6E 348,32A,Airbus A320 (sharklets),Indigo Airlines,150,12
6E 362,32A,Airbus A320 (sharklets),Indigo Airlines,150,12
6E 365,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 366,32A,Airbus A320 (sharklets),Indigo Airlines,150,12
6E 387,32N,Airbus A320neo,Indigo Airlines,150,12
6E 397,32N,Airbus A320neo,Indigo Airlines,150,12
6E 399,32N,Airbus A320neo,Indigo Airlines,150,12
6E 412,32N,Airbus A320neo,Indigo Airlines,150,12
6E 442,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 446,32N,Airbus A320neo,Indigo Airlines,150,12
6E 465,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 472,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 475,32N,Airbus A320neo,Indigo Airlines,150,12
6E 481,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 5006,321,Airbus A321,Indigo Airlines,185,16
6E 5007,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 5009,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 501,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 5014,321,Airbus A321,Indigo Airlines,185,16
6E 5019,32N,Airbus A320neo,Indigo Airlines,150,12
6E 5021,320,Airbus A320,Indigo Airlines,150,12
6E 5026,321,Airbus A321,Indigo Airlines,185,16
6E 5031,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 5032,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 5037,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 5038,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 5039,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 5043,32Q,Airbus A321neo,Indigo Airlines,174,16
6E 5061,321,Airbus A321,Indigo Airlines,185,16
