id,origin,destination,departure,arrival,Mon,Tue,Wed,Thu,Fri,Sat,Sun,aircraft_id
6E 102,BOM,DEL,21:15:00,23:25:00,0,1,1,1,1,1,1,32Q
6E 106,AMD,ATQ,19:40:00,21:35:00,1,1,0,1,1,1,0,32N
6E 107,PNQ,BLR,20:55:00,22:30:00,1,1,1,1,1,1,1,32Q
6E 115,CCU,BOM,21:45:00,00:30:00,1,1,1,1,1,1,1,32N
6E 117,GOI,HYD,18:10:00,19:20:00,1,1,1,1,1,0,1,320
6E 125,BLR,JRG,10:25:00,12:35:00,0,1,1,0,1,1,0,320
6E 127,ATQ,AMD,22:05:00,00:05:00,1,0,1,1,1,0,1,32N
6E 133,PNQ,JDH,11:45:00,13:25:00,1,1,1,1,0,0,0,320
6E 142,LKO,AMD,06:30:00,08:15:00,1,0,1,1,0,1,1,32N
6E 143,MAA,BBI,17:55:00,19:40:00,0,1,1,0,1,1,1,32Q
6E 146,LKO,GAU,09:05:00,10:50:00,1,1,0,0,1,0,1,32N
6E 152,BLR,CCJ,19:55:00,21:05:00,1,1,1,0,0,0,1,32N
6E 169,MAA,COK,19:10:00,20:20:00,1,1,1,1,1,1,1,32N
6E 193,MAA,HYD,20:20:00,21:30:00,1,1,1,1,1,0,1,32N
6E 2015,IXL,DEL,11:30:00,12:55:00,0,0,1,0,1,1,1,32N
6E 2016,DEL,ATQ,12:20:00,13:30:00,1,0,1,1,1,1,0,321
6E 2018,DEL,DED,08:55:00,09:40:00,1,0,1,1,0,0,1,32N
6E 2026,LKO,DEL,07:40:00,08:50:00,1,1,1,0,1,0,1,32N
6E 2027,HYD,DEL,20:05:00,22:15:00,1,1,1,1,1,1,1,320
6E 2042,DEL,JAI,18:40:00,19:40:00,1,1,1,1,1,0,1,32N
6E 2045,DEL,ATQ,20:20:00,21:30:00,1,1,0,1,1,1,1,32Q
6E 2047,AMD,DEL,15:50:00,17:25:00,1,1,1,1,1,0,1,320
6E 2057,DEL,CCU,18:05:00,20:30:00,1,1,1,1,1,1,1,320
6E 2058,LKO,BOM,21:55:00,00:05:00,0,1,1,1,0,0,1,32N
6E 2062,DEL,RPR,07:10:00,09:00:00,1,1,1,1,1,0,0,32Q
6E 2072,DED,DEL,18:25:00,19:10:00,1,1,0,0,1,1,0,32N
6E 2073,HYD,TRZ,16:25:00,17:50:00,1,0,0,1,0,1,1,320
6E 2074,PAT,DEL,12:15:00,14:00:00,0,1,1,0,1,1,1,32N
6E 209,IXR,MAA,19:10:00,21:15:00,1,1,0,1,1,1,0,32N
6E 2137,SXR,DEL,11:35:00,13:10:00,1,1,1,0,0,0,1,32A
6E 215,IXJ,BOM,17:35:00,20:15:00,1,1,1,1,1,0,1,321
6E 2164,GOI,DEL,22:25:00,00:55:00,1,1,1,1,1,1,1,320
6E 2165,JAI,DEL,07:25:00,08:15:00,1,1,0,0,1,1,1,32Q
6E 2166,MAA,DEL,21:05:00,00:05:00,1,0,1,1,1,1,1,320
6E 2167,PAT,BOM,15:40:00,18:15:00,0,1,1,0,1,1,1,320
6E 2168,BOM,DEL,04:50:00,07:05:00,1,1,1,1,1,1,1,32N
6E 2169,DEL,BOM,07:55:00,10:10:00,1,1,1,1,1,1,1,32Q
6E 2171,TRZ,HYD,09:20:00,10:40:00,1,1,0,0,1,0,1,32N
6E 2172,DEL,BHO,15:05:00,16:30:00,1,1,1,0,1,1,1,320
6E 2174,BLR,DEL,15:15:00,18:00:00,1,0,1,1,1,1,1,32Q
6E 2192,KNU,DEL,14:40:00,15:45:00,0,1,1,1,1,0,1,32N
6E 2198,CCU,DEL,21:15:00,23:35:00,1,1,0,1,1,1,1,320
6E 2201,DEL,BBI,20:00:00,22:15:00,1,1,1,0,1,1,0,32N
6E 2204,DEL,JAI,16:50:00,17:40:00,0,1,1,1,1,1,1,321
6E 2214,DEL,NAG,16:25:00,18:05:00,0,0,0,1,1,1,1,320
6E 225,BOM,IDR,21:45:00,23:10:00,1,0,1,1,1,1,1,32N
6E 2258,DEL,LKO,17:30:00,18:40:00,1,1,1,1,1,1,0,320
6E 2273,DEL,PNQ,20:10:00,22:20:00,1,1,1,1,1,0,1,32Q
6E 2305,SXR,DEL,14:40:00,16:10:00,1,1,1,1,1,0,0,32Q
6E 2306,IXA,DEL,15:40:00,18:20:00,0,0,1,1,1,1,0,32N
6E 235,CCU,BLR,11:40:00,14:20:00,1,1,1,1,1,1,1,32Q
6E 2376,DEL,IDR,17:30:00,18:55:00,0,0,1,1,1,1,1,321
