id_x,origin_x,destination_x,departure_x,arrival_x,AircraftCode_x,Aircraft_x,id_y,origin_y,destination_y,departure_y,arrival_y,AircraftCode_y,Aircraft_y
6E 5375,DEL,MAA,21:30 IST,00:20 IST,32Q,Airbus A321neo,6E 5304,MAA,BOM,09:35 IST,11:30 IST,32Q,Airbus A321neo
6E 5375,DEL,MAA,21:30 IST,00:20 IST,32Q,Airbus A321neo,6E 685,MAA,BOM,16:45 IST,18:45 IST,32Q,Airbus A321neo
6E 5375,DEL,MAA,21:30 IST,00:20 IST,32Q,Airbus A321neo,6E 5367,MAA,BOM,18:20 IST,20:10 IST,32Q,Airbus A321neo
6E 5387,DEL,MAA,22:45 IST,01:35 IST,32Q,Airbus A321neo,6E 5304,MAA,BOM,09:35 IST,11:30 IST,32Q,Airbus A321neo
6E 5387,DEL,MAA,22:45 IST,01:35 IST,32Q,Airbus A321neo,6E 685,MAA,BOM,16:45 IST,18:45 IST,32Q,Airbus A321neo
6E 5387,DEL,MAA,22:45 IST,01:35 IST,32Q,Airbus A321neo,6E 5367,MAA,BOM,18:20 IST,20:10 IST,32Q,Airbus A321neo
AI 537,DEL,MAA,16:15 IST,19:10 IST,77W,Boeing 777-300ER,6E 5304,MAA,BOM,09:35 IST,11:30 IST,32Q,Airbus A321neo
AI 537,DEL,MAA,16:15 IST,19:10 IST,77W,Boeing 777-300ER,6E 685,MAA,BOM,16:45 IST,18:45 IST,32Q,Airbus A321neo
AI 537,DEL,MAA,16:15 IST,19:10 IST,77W,Boeing 777-300ER,6E 5367,MAA,BOM,18:20 IST,20:10 IST,32Q,Airbus A321neo
AI 540,DEL,MAA,20:45 IST,23:35 IST,32N,Airbus A320neo,6E 5304,MAA,BOM,09:35 IST,11:30 IST,32Q,Airbus A321neo
AI 540,DEL,MAA,20:45 IST,23:35 IST,32N,Airbus A320neo,6E 685,MAA,BOM,16:45 IST,18:45 IST,32Q,Airbus A321neo
AI 540,DEL,MAA,20:45 IST,23:35 IST,32N,Airbus A320neo,6E 5367,MAA,BOM,18:20 IST,20:10 IST,32Q,Airbus A321neo
6E 5343,DEL,JAI,05:55 IST,06:55 IST,32Q,Airbus A321neo,AI 612,JAI,BOM,13:35 IST,15:25 IST,32N,Airbus A320neo
6E 2204,DEL,JAI,16:50 IST,17:40 IST,321,Airbus A321,AI 612,JAI,BOM,13:35 IST,15:25 IST,32N,Airbus A320neo
6E 2042,DEL,JAI,18:40 IST,19:40 IST,32N,Airbus A320neo,AI 612,JAI,BOM,13:35 IST,15:25 IST,32N,Airbus A320neo
6E 2394,DEL,ATQ,06:00 IST,07:05 IST,32N,Airbus A320neo,6E 821,ATQ,BOM,21:05 IST,23:20 IST,32N,Airbus A320neo
6E 2016,DEL,ATQ,12:20 IST,13:30 IST,321,Airbus A321,6E 821,ATQ,BOM,21:05 IST,23:20 IST,32N,Airbus A320neo
6E 2045,DEL,ATQ,20:20 IST,21:30 IST,32Q,Airbus A321neo,6E 821,ATQ,BOM,21:05 IST,23:20 IST,32N,Airbus A320neo
AI 479,DEL,ATQ,21:15 IST,22:30 IST,32N,Airbus A320neo,6E 821,ATQ,BOM,21:05 IST,23:20 IST,32N,Airbus A320neo
6E 2393,DEL,CJB,05:10 IST,08:15 IST,320,Airbus A320,AI 608,CJB,BOM,09:00 IST,10:50 IST,32N,Airbus A320neo
